"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","EQ","18-Sep-2020","         26.20","         26.50","         28.00","         26.40","         27.80","         27.75","         27.33","    1134033","            30990618.35","       3057","     634865","         55.98"
"MANALIPETC","EQ","21-Sep-2020","         27.75","         28.00","         28.90","         25.40","         25.65","         25.65","         27.27","    1792403","            48880541.75","       4894","     962032","         53.67"
"MANALIPETC","EQ","22-Sep-2020","         25.65","         25.80","         26.20","         23.70","         25.40","         25.45","         25.04","    1354139","            33911395.40","       4022","     604844","         44.67"
"MANALIPETC","EQ","23-Sep-2020","         25.45","         25.45","         27.70","         25.45","         27.50","         27.45","         26.73","    1649084","            44072610.05","       4708","     720620","         43.70"
"MANALIPETC","EQ","24-Sep-2020","         27.45","         26.80","         28.40","         25.85","         26.80","         27.00","         27.55","    2309251","            63626819.20","       6065","    1013685","         43.90"
"MANALIPETC","EQ","25-Sep-2020","         27.00","         27.30","         30.70","         27.25","         30.25","         30.20","         29.19","    4826388","           140899472.60","      12467","    2308238","         47.83"
"MANALIPETC","EQ","28-Sep-2020","         30.20","         30.60","         32.60","         30.10","         31.35","         31.45","         31.52","    4111295","           129604547.65","      13766","    1517146","         36.90"
"MANALIPETC","EQ","29-Sep-2020","         31.45","         31.75","         33.90","         30.65","         33.45","         33.40","         32.37","    3763385","           121826788.70","      13532","    1667597","         44.31"
"MANALIPETC","EQ","30-Sep-2020","         33.40","         33.70","         35.80","         33.20","         34.40","         34.65","         34.67","    4042798","           140163288.25","      12516","    1511313","         37.38"
"MANALIPETC","EQ","01-Oct-2020","         34.65","         34.90","         35.30","         33.10","         33.40","         33.35","         33.95","    1029970","            34970187.60","       4456","     581978","         56.50"
"MANALIPETC","EQ","05-Oct-2020","         33.35","         33.85","         34.00","         30.70","         32.70","         32.60","         32.61","     863597","            28161882.45","       3203","     513272","         59.43"
"MANALIPETC","EQ","06-Oct-2020","         32.60","         32.50","         33.00","         31.50","         31.90","         31.85","         32.30","     514171","            16608083.70","       2289","     350433","         68.15"
"MANALIPETC","EQ","07-Oct-2020","         31.85","         31.50","         34.00","         31.10","         33.65","         33.55","         32.88","    1164612","            38294233.45","      10204","     720184","         61.84"
"MANALIPETC","EQ","08-Oct-2020","         33.55","         35.10","         35.10","         32.10","         32.70","         32.60","         33.62","    1374083","            46197096.15","       5326","     799384","         58.18"
"MANALIPETC","EQ","09-Oct-2020","         32.60","         32.15","         33.80","         31.50","         33.50","         33.60","         33.23","     653802","            21723443.70","       2477","     442008","         67.61"
"MANALIPETC","EQ","12-Oct-2020","         33.60","         33.75","         36.65","         33.20","         33.45","         34.00","         35.03","    3879459","           135916783.45","      13807","    1385351","         35.71"
"MANALIPETC","EQ","13-Oct-2020","         34.00","         33.55","         33.85","         32.85","         33.30","         32.95","         33.29","     577909","            19238438.20","       3177","     288499","         49.92"
"MANALIPETC","EQ","14-Oct-2020","         32.95","         33.10","         33.45","         32.40","         32.90","         33.00","         32.86","     334469","            10989205.85","       1623","     139889","         41.82"
"MANALIPETC","EQ","15-Oct-2020","         33.00","         32.45","         33.85","         31.60","         32.25","         31.85","         32.61","     852882","            27816029.25","       3143","     414398","         48.59"
